--- Chunk 0 ---
[5.43-5.87]  Hei!
[5.95-6.33]  Hei,
[6.45-6.45]  det
[6.45-6.55]  var
[6.55-6.85]  akkurat
[6.85-6.97]  de
[6.97-7.27]  fyr
[7.27-7.39]  som
[7.39-7.73]  ringte
[7.73-7.87]  og
[7.87-7.97]  sa
[7.97-8.09]  at
[8.09-8.17]  jeg
[8.17-8.69]  vundet
[8.69-9.23]  billetter
[9.23-9.39]  til
[9.39-9.81]  Silent
[9.81-10.23]  Art.
[10.41-10.49]  På
[10.49-10.59]  den
[10.59-10.87]  ene
[10.87-11.09]  siden
[11.09-11.73]  skjønner
[11.73-11.85]  du
[11.85-12.13]  sikkert
[12.13-12.29]  at
[12.29-12.75]  Thea
[12.75-13.01]  er
[13.01-13.57]  megafan.
[13.61-13.73]  Er
[13.73-13.79]  det
[13.79-14.01]  sant?
[14.19-14.43]  Ja!
[14.73-14.85]  Jeg
[14.85-14.97]  var
[14.97-15.19]  akkurat
[15.19-15.35]  dit
[15.35-15.51]  og
[15.51-15.91]  passet
[15.91-15.97]  en
[15.97-16.07]  kort
[16.07-16.33]  nummer
[16.33-16.47]  om
[16.47-16.59]  mitt,
[16.73-16.79]  og
[16.79-16.95]  nå
[16.95-17.15]  skal
[17.15-17.21]  jeg
[17.21-17.35]  på
[17.35-17.65]  fem
[17.65-17.97]  steder.
[18.29-18.47]  På
[18.47-18.51]  den
[18.51-18.77]  andre
[18.77-19.11]  siden.
[19.35-19.51]  Men
[19.51-20.07]  Thea,
[20.19-20.79]  det
[20.79-20.91]  kan
[20.91-21.03]  ikke
[21.03-21.13]  være
[21.13-21.47]  skam
[21.47-21.69]  nå.
[22.47-22.91]  Telefonsvindel
[22.91-23.09]  er
[23.09-23.23]  et
[23.23-24.01]  økende
[24.01-24.41]  problem.
[24.67-25.03]  Derfor
[25.03-25.73]  inkluderer
[25.73-26.23]  TeleNor
[26.23-26.87]  Svindel
[26.87-27.27]  Varsel
[27.27-27.59]  i
[27.59-27.77]  nye
[27.77-28.03]  mobil
[28.03-28.49]  abonnement.
[28.93-29.11]  For
[29.11-29.29]  vi
[29.29-29.63]  skal
[29.63-29.81]  være
[29.81-30.15]  hele
[30.15-30.63]  Norges
[30.63-31.41]  sikkerhetsnet.
[32.01-32.25]  Se
[32.25-32.95]  TeleNor
[32.95-33.13]  NO.
[33.50-33.84]  Du
[33.84-34.12]  hører
[34.12-35.24]  heroindagboka
[35.24-35.56]  fra
[35.56-36.22]  Svartlåst.
[37.84-38.40]  Dette
[38.40-38.54]  er
[38.54-38.64]  den
[38.64-39.06]  første
[39.06-39.20]  av
[39.20-39.44]  fem
[39.44-39.92]  episoder,
[40.24-40.30]  og
[40.30-40.50]  ser
[40.50-40.62]  en
[40.62-40.72]  er
[40.72-40.98]  lage
[40.98-41.20]  av
[41.20-41.60]  Thomas
[41.60-42.34]  Allkjær
[42.34-42.60]  og
[42.60-43.00]  fortalt
[43.00-43.16]  av
[43.16-43.38]  meg
[43.38-44.02]  sindrille
[44.02-44.32]  ganger.
[48.56-49.12]  En
[49.12-49.56]  søndag
[49.56-49.66]  i
[49.66-50.04]  oktober
[50.04-50.74]  2013,
[51.14-51.20]  i
[51.20-51.30]  et
[51.30-51.52]  rødt
[51.52-52.14]  trehus
[52.14-52.32]  på
[52.32-52.58]  Bjerk
[52.58-52.76]  i
[52.76-53.04]  Oslo,
[53.56-53.76]  sitter
[53.76-54.14]  20
[54.14-54.62] -årigamle
[54.62-54.96]  Geir
[54.96-55.12]  på
[55.12-55.60]  romesitt
[55.60-55.84]  med
[55.84-56.22]  datan
[56.22-56.52]  foran
[56.52-56.70]  seg.
[57.88-58.44]  Rullgardine
[58.44-58.68]  er
[58.68-58.80]  som
[58.80-59.20]  vanlig
[59.20-59.48]  trekk
[59.48-59.68]  ned,
[60.16-60.24]  det
[60.24-60.28]  er
[60.28-60.72]  skjermen
[60.72-60.86]  som
[60.86-61.14]  lyser
[61.14-61.28]  på
[61.28-61.72]  ansiktet
[61.72-61.86]  hans.
[62.48-63.02]  Geir
[63.02-63.14]  har
[63.14-63.42]  kort
[63.42-63.68]  hår
[63.68-63.92]  og
[63.92-63.96]  er
[63.96-64.32]  slank,
[64.62-64.70]  med
[64.70-64.98]  lange
[64.98-65.40]  fingre
[65.40-65.62]  som
[65.62-65.96]  løper
[65.96-66.16]  over
[66.16-66.74]  tastature.
[68.92-69.50]  På
[69.50-69.88]  veggen
[69.88-69.98]  ved
[69.98-70.28]  siden
[70.28-70.50]  av
[70.50-70.76]  henger
[70.76-70.94]  en
[70.94-71.40]  elgitar.
[72.02-72.16]  De
[72.16-72.38]  siste
[72.38-72.72]  årene
[72.72-73.00]  er
[73.00-73.08]  det
[73.08-73.56]  musikk
[73.56-73.88]  Geir
[73.88-73.96]  har
[73.96-74.22]  levd
[74.22-74.38]  for,
[74.94-75.06]  men
[75.06-75.36]  akkurat
[75.36-75.64]  nå
[75.64-76.02]  er
[76.02-76.10]  det
[76.10-76.32]  noe
[76.32-76.76]  annet
[76.76-76.96]  som
[76.96-77.26]  opptar
[77.26-77.62]  tanken
[77.62-77.82]  hans.
[83.20-83.78]  Inne
[83.78-83.94]  på
[83.94-84.04]  det
[84.04-84.42]  norske
[84.42-85.48]  diskusjonsforumet
[85.48-86.14]  Freek
[86.14-86.66]  starte
[86.66-86.92]  Geir
[86.92-87.04]  en
[87.04-87.18]  ny
