--- Chunk 0 ---
[0.33-0.83]  Hey,
[0.93-1.13]  it's
[1.13-1.25]  Jin
[1.25-1.33]  and
[1.33-1.51]  Bush
[1.51-1.73]  Higger
[1.73-1.97]  from
[1.97-2.25]  Today
[2.25-2.53]  with
[2.53-2.71]  Jin
[2.71-2.87]  and
[2.87-3.15]  Friends.
[3.77-3.91]  And
[3.91-4.05]  I'm
[4.05-4.27]  so
[4.27-4.73]  excited
[4.73-4.95]  about
[4.95-5.07]  our
[5.07-5.57]  first
[5.57-5.95]  ever
[5.95-6.31]  read
[6.31-6.53]  with
[6.53-6.73]  Jin
[6.73-6.87]  and
[6.87-7.01]  Book
[7.01-7.51]  Festival,
[8.01-8.07]  a
[8.07-8.41]  weekend
[8.41-8.59]  of
[8.59-8.87]  books,
[9.13-9.31]  food,
[9.51-9.53]  and
[9.53-9.95]  music,
[10.09-10.13]  and
[10.13-10.23]  the
[10.23-10.43]  city
[10.43-10.57]  that
[10.57-10.81]  knows
[10.81-11.13]  a
[11.13-11.31]  good
[11.31-11.67]  time.
[12.01-12.31]  Nashville,
[12.31-12.81]  Tennessee.
[13.42-13.74]  Join
[13.74-13.98]  me
[13.98-14.14]  on
[14.14-14.28]  May
[14.28-14.90]  30th
[14.90-14.96]  and
[14.96-15.70]  31st
[15.70-15.78]  at
[15.78-16.22]  W.
[16.44-16.74]  Nashville
[16.74-17.04]  and
[17.04-17.30]  connect
[17.30-17.56]  with
[17.56-17.80]  fellow
[17.80-18.06]  book
[18.06-18.38]  lovers,
[18.70-18.80]  meet
[18.80-19.00]  the
[19.00-19.44]  authors,
[19.76-19.88]  dive
[19.88-20.14]  into
[20.14-20.66]  engaging
[20.66-21.40]  conversations,
[21.94-22.06]  pop
[22.06-22.24] -up
[22.24-22.90]  bookshops,
[23.28-23.66]  immersive
[23.66-24.40]  experiences,
[24.70-25.02]  surprise
[25.02-25.58]  giveaways,
[25.94-26.04]  and
[26.04-26.32]  more.
[26.84-27.00]  This
[27.00-27.20]  event
[27.20-27.34]  is
[27.34-27.70]  sponsored
[27.70-27.88]  by
[27.88-28.26]  Nashville
[28.26-28.68]  Music
[28.68-29.04]  City,
[29.26-29.32]  and
[29.32-29.46]  you
[29.46-29.60]  can
[29.60-29.72]  get
[29.72-29.94]  your
[29.94-30.24]  tickets
[30.24-30.58]  now
[30.58-30.90]  at
[30.90-31.22]  today
[31.22-31.84] .com
[31.84-32.36]  slash
[32.36-33.50]  RWJ
[33.50-33.86]  Book
[33.86-34.28]  Festival.
[34.64-34.84]  Come
[34.84-35.28]  celebrate
[35.28-35.50]  the
[35.50-35.84]  magic
[35.84-36.02]  of
[36.02-36.26]  books
[36.26-36.48]  in
[36.48-36.88]  Nashville.
[37.34-37.40]  I
[37.40-37.54]  hope
[37.54-37.66]  to
[37.66-37.84]  see
[37.84-37.98]  you
[37.98-38.12]  there.
[39.74-40.34]  Tonight
[40.34-40.82]  on
[40.82-41.34]  Dateline.
[41.92-42.12]  She
[42.12-42.20]  was
[42.20-42.34]  so
[42.34-42.66]  beautiful.
[43.28-43.74]  inside
[43.74-43.88]  and
[43.88-44.08]  out.
[44.58-44.92]  So
[44.92-45.24]  smart.
[46.22-46.78]  She
[46.78-46.98]  might
[46.98-47.10]  have
[47.10-47.20]  said
[47.20-47.32]  it
[47.32-47.44]  more
[47.44-47.80]  gently,
[47.98-48.14]  but
[48.14-48.44]  I
[48.44-48.60]  just
[48.60-49.00]  remember
[49.00-49.72]  Anita's
[49.72-49.90]  dead.
[50.74-51.12]  Everything
[51.12-51.38]  kind
[51.38-51.50]  of
[51.50-51.86]  stopped.
[52.64-52.86]  Your
[52.86-53.14]  mind
[53.14-53.42]  just
[53.42-53.70]  goes
[53.70-54.50]  everywhere
[54.50-54.96]  like
[54.96-55.18]  who
[55.18-55.32]  could
[55.32-55.52]  do
[55.52-55.86]  this?
[56.56-56.96]  Tyler
[56.96-57.58]  Schmaltz
[57.58-57.82]  was
[57.82-58.26]  kind
[58.26-58.38]  of
[58.38-59.02]  infatuated
[59.02-59.24]  with
[59.24-59.46]  her.
[61.12-61.68]  She
[61.68-61.92]  kind
[61.92-62.06]  of
[62.06-62.28]  friend
[62.28-62.66] -zoned
[62.66-62.86]  him
[62.86-63.10]  pretty
[63.10-63.42]  quickly.
[63.80-63.98]  Yes.
[65.12-65.50]  Nicole
[65.50-66.02]  Rice's
[66.02-66.22]  name
[66.22-66.54]  came
[66.54-66.80]  up.
[67.22-67.44]  I
[67.44-68.06]  overheard
[68.06-68.64]  Nicole's
[68.64-68.88]  mom
[68.88-69.74]  asking,
[69.98-70.06]  how
[70.06-70.26]  could
[70.26-70.38]  you
[70.38-70.56]  think
[70.56-70.76]  my
[70.76-71.00]  daughter
[71.00-71.24]  did
[71.24-71.62]  this?
[73.48-73.96]  We
[73.96-74.44]  were
[74.44-74.92]  dispatched
[74.92-75.26]  to
[75.26-75.40]  a
[75.40-75.60]  call
[75.60-75.96]  of
[75.96-76.36]  someone
[76.36-76.80]  entering
[76.80-77.02]  an
[77.02-77.44]  apartment.
[77.98-78.18]  There
[78.18-78.38]  was
[78.38-78.62]  a
[78.62-79.10]  male.
[79.58-79.66]  He
[79.66-79.92]  had
[79.92-80.22]  a
[80.22-80.48]  knife.
[80.94-81.16]  There
[81.16-81.32]  was
[81.32-81.42]  a
[81.42-81.66]  chance
[81.66-81.90]  that
[81.90-82.00]  he
[82.00-82.32]  crawled
[82.32-82.38]  into
[82.38-82.50]  the
[82.50-82.76]  window
[82.76-82.96]  and
[82.96-83.12]  killed
[83.12-83.36]  this
[83.36-83.56]  girl.
[84.10-84.16]  You
[84.16-84.30]  know
[84.30-84.40]  I
[84.40-84.74]  can't
[84.74-84.86]  grow
[84.86-85.08]  up.
[85.62-86.10]  There
[86.10-86.32]  were
[86.32-86.74]  many
[86.74-87.36]  possible
[87.36-87.96]  suspects.
[89.76-90.24]  If
[90.24-90.44]  someone
[90.44-90.64]  told
[90.64-90.80]  us
[90.80-90.90]  you
[90.90-91.02]  were
[91.02-91.12]  at
[91.12-91.20]  a
[91.20-91.52]  party
[91.52-91.98]  and
[91.98-92.06]  you
[92.06-92.20]  said
[92.20-92.38]  you
[92.38-92.62]  killed
[92.62-92.78]  her
[92.78-92.94]  here,
[93.22-93.46]  you'd
[93.46-93.56]  be
[93.56-93.82]  lying.
[95.04-95.52]  We've
[95.52-95.64]  been
[95.64-96.04]  reliving
[96.04-96.24]  this
[96.24-96.82]  every
[96.82-97.06]  single
[97.06-97.34]  day
[97.34-97.66]  for
[97.66-97.92]  18
[97.92-98.38]  years.
[99.07-99.49]  It's
[99.49-99.89]  really
[99.89-100.51]  scary
[100.51-101.05]  not
[101.05-101.41]  knowing
[101.41-101.57]  how
