--- Chunk 0 ---
[5.37-5.85]  Hei!
[5.93-6.21]  Hei,
[6.47-6.47]  det
[6.47-6.55]  var
[6.55-6.81]  akkurat
[6.81-6.99]  de
[6.99-7.23]  4,
[7.29-7.41]  som
[7.41-7.49]  vi
[7.49-7.73]  ringte,
[7.81-7.87]  og
[7.87-7.91]  så
[7.91-8.09]  hadde
[8.09-8.21]  jeg
[8.21-8.71]  vundet
[8.71-9.29]  belettet
[9.29-9.41]  i
[9.41-9.81]  Silent
[9.81-10.19]  Art.
[10.41-10.49]  På
[10.49-11.09]  næensiden
[11.09-11.77]  skjønner
[11.77-11.85]  du
[11.85-12.11]  sikker
[12.11-12.41]  datte
[12.41-12.73]  tea
[12.73-13.03]  en
[13.03-13.21]  meg
[13.21-13.39]  av
[13.39-13.59]  fennel.
[13.61-13.91]  Altså!
[14.17-14.41]  Ja!
[14.71-14.85]  Jeg
[14.85-14.93]  har
[14.93-15.17]  akkurat
[15.17-15.33]  dit
[15.33-15.55]  han
[15.55-15.87]  passet
[15.87-15.95]  av
[15.95-16.07]  kort
[16.07-16.25]  noen
[16.25-16.43]  av
[16.43-16.43]  noen
[16.43-16.55]  vet
[16.55-16.81]  om
[16.81-16.97]  noen
[16.97-17.21]  å
[17.21-17.21]  skjære
[17.21-17.37]  på
[17.37-18.17]  fennelstjærelse.
[18.37-18.45]  På
[18.45-18.77]  andre
[18.77-19.09]  siden.
[19.35-19.53]  Men
[19.53-20.03]  tea,
[20.53-20.77]  det
[20.77-20.89]  kan
[20.89-21.03]  ikke
[21.03-21.11]  være
[21.11-21.67]  skamene.
[22.41-22.89]  Telefonsvindel
[22.89-23.11]  er
[23.11-23.19]  det
[23.19-23.47]  sørre
[23.47-23.59]  et
[23.59-24.03]  økende
[24.03-24.37]  problem,
[24.77-25.01]  derfor
[25.01-25.71]  inkluderer
[25.71-26.27]  telenor
[26.27-26.85]  svinnel
[26.85-27.25]  varsel
[27.25-27.61]  i
[27.61-27.75]  ny
[27.75-27.95]  mobil
[27.95-28.27]  av
[28.27-28.35]  en
[28.35-28.61]  mann.
[29.03-29.11]  For
[29.11-29.25]  vi
[29.25-29.63]  skal
[29.63-29.81]  være
[29.81-30.15]  hele
[30.15-30.57]  Norges
[30.57-31.21]  sikkerhet
[31.21-31.47]  snett.
[32.09-32.25]  Se
[32.25-32.93]  telenor
[32.93-33.09]  en
[33.09-33.19]  no.
[33.50-33.86]  Du
[33.86-34.14]  hører
[34.14-34.36]  her
[34.36-34.48]  og
[34.48-34.82]  indag
[34.82-35.22]  boka
[35.22-36.10]  trasvartlost.
[37.68-38.24]  Det
[38.24-38.50]  er
[38.50-38.64]  den
[38.64-39.06]  første
[39.06-39.28]  av
[39.28-39.42]  fem
[39.42-40.08]  episodeer,
[40.28-40.30]  og
[40.30-40.46]  ser
[40.46-40.68]  denne
[40.68-41.06]  laget
[41.06-41.24]  av
[41.24-41.64]  Thomas
[41.64-42.38]  Alkjære
[42.38-42.60]  og
[42.60-42.92]  fortalt
[42.92-43.16]  av
[43.16-43.34]  meg,
[43.68-43.74]  sin
[43.74-43.92]  dere
[43.92-44.24]  leganger.
[48.54-49.10]  En
[49.10-49.54]  søndag
[49.54-49.66]  i
[49.66-50.04]  oktober
[50.04-50.78]  2013,
[51.08-51.34]  gett
[51.34-51.60]  rett
[51.60-51.78]  tre
[51.78-52.04]  hus
[52.04-52.32]  på
[52.32-52.70]  Birke
[52.70-53.04]  Oslo,
[53.56-53.78]  sitter
[53.78-54.10]  20
[54.10-54.34]  år
[54.34-54.60]  gammel
[54.60-54.88]  gjer
[54.88-55.12]  på
[55.12-55.40]  rummet
[55.40-55.62]  sitt
[55.62-55.84]  med
[55.84-56.20]  daten
[56.20-56.50]  foran
[56.50-56.68]  seg.
[57.92-58.44]  Rullgardina
[58.44-58.70]  er
[58.70-58.84]  som
[58.84-59.20]  vanlig
[59.20-59.50]  trekt
[59.50-59.70]  ned,
[60.22-60.26]  der
[60.26-60.70]  skjermen
[60.70-60.88]  som
[60.88-61.16]  lyser
[61.16-61.26]  på
[61.26-61.60]  ansikt
[61.60-61.86]  ans.
[62.48-63.04]  Geir
[63.04-63.12]  har
[63.12-63.40]  kort
[63.40-63.82]  torr,
[63.88-63.96]  er
[63.96-64.28]  slank,
[64.62-64.70]  med
[64.70-64.86]  lang
[64.86-65.06]  i
[65.06-65.36]  fingre
[65.36-65.66]  som
[65.66-66.00]  løkter
[66.00-66.84]  årtastaturet.
[68.94-69.52]  På
[69.52-69.86]  veggen
[69.86-69.98]  ved
[69.98-70.28]  siden
[70.28-70.50]  av
[70.50-70.82]  hengre
[70.82-70.94]  en
[70.94-71.40]  elgitar.
[71.98-72.14]  De
[72.14-72.42]  siste
[72.42-72.72]  åra
[72.72-72.92]  så
[72.92-73.00]  er
[73.00-73.08]  det
[73.08-73.54]  musikk
[73.54-73.90]  Geir
[73.90-73.98]  har
[73.98-74.24]  levt
[74.24-74.36]  for.
[74.96-75.04]  Men
[75.04-75.32]  akkurat
[75.32-75.62]  nå
[75.62-75.94]  så
[75.94-76.02]  er
[76.02-76.12]  det
[76.12-76.30]  noe
[76.30-76.60]  ant
[76.60-76.94]  som
[76.94-77.24]  opptar
[77.24-77.60]  tanken
[77.60-77.72]  ans.
[83.20-83.78]  Inne
[83.78-83.92]  på
[83.92-84.06]  den
[84.06-84.42]  norske
[84.42-85.42]  diskussionsforum
[85.42-85.50]  er
[85.50-86.12]  Freak,
[86.46-86.68]  starte
[86.68-86.92]  Geir
[86.92-87.06]  en
[87.06-87.16]  ny
[87.16-87.44]  trå.
[88.20-88.34]  Under
[88.34-88.78]  bruken
[88.78-89.04]  avne
[89.04-89.60]  blodshot
[89.60-90.00]  ice
[90.00-90.38]  så
[90.38-90.60]  spør
[90.60-90.64]  er
[90.64-90.76]  han.
[91.21-91.73]  Hvordan
[91.73-92.25]  skite
[92.25-92.45]  har
[92.45-92.57]  du
[92.57-92.75]  inn?
[94.25-94.87]  Har
[94.87-95.07]  les
[95.07-95.33]  noen
[95.33-95.69]  tråd
[95.69-95.79]  om
[95.79-95.95]  dette.
[97.19-97.27]  Men
[97.27-97.37]  jeg
[97.37-97.47]  ble
[97.47-97.67]  ikke
[97.67-97.97]  veldig
[97.97-98.07]  mye
[98.07-98.45]  klokre.
[100.51-101.03]  Vilken
[101.03-101.65]  størrelse
[101.65-102.13]  besprøyte
[102.13-102.31]  være?
[104.33-104.79]  Hvordan
[104.79-105.03]  skal
[105.03-105.49]  forholde
[105.49-105.67]  med
[105.67-105.77]  de
[105.77-106.15]  herro,
[106.43-106.57]  van
[106.57-106.97]  og
[106.97-107.87]  skolebinsyrvere?
[108.81-109.27]  Hvor
[109.27-109.61]  lenge
[109.61-109.77]  skal
[109.77-109.89]  det
[109.89-110.21]  koke?
[111.15-111.77]  Takk
[111.77-111.85]  for
[111.85-112.01]  svar.
[114.35-114.89]  Genom
[114.89-115.03]  de
[115.03-115.25]  neste
[115.25-115.63]  åra
[115.63-116.03]  skal
[116.03-116.27]  den
[116.27-116.45]  her
[116.45-117.57]  diskussionstrån
[117.57-117.73]  på
[117.73-118.03]  måte
[118.03-118.27]  også
[118.27-118.45]  blir
[118.45-118.65]  den
[118.65-119.25]  reutron
[119.25-119.69]  gjennom
[119.69-120.21]  gansliv.
[120.72-121.02]  Og
[121.02-121.12]  det
[121.12-121.20]  han
[121.20-121.62]  skriver
[121.62-121.86]  der
[121.86-122.16]  skal
[122.16-122.38]  enda
[122.38-122.48]  opp
[122.48-122.56]  med
[122.56-122.62]  å
[122.62-122.72]  bli
[122.72-123.06]  lest
[123.06-123.32]  av
[123.32-124.12]  hundretusner.
[125.18-125.40]  Det
[125.40-125.54]  skal
[125.54-125.72]  gjøre
[125.72-125.90]  folk
[125.90-126.12]  for
[126.12-126.56]  banne,
[126.86-127.36]  berørte
[127.36-127.96]  og
[127.96-128.38]  noen
[128.38-128.54]  som
[128.54-128.66]  for
[128.66-128.96]  eksempel
[128.96-129.10]  for
[129.10-129.42]  eldre
[129.42-129.68]  ans
[129.68-130.44]  kjokerte.
[131.70-131.92]  For
[131.92-132.02]  det
[132.02-132.26]  gjer
[132.26-132.46]  skal
[132.46-132.76]  gjøre
[132.76-133.14]  er
[133.14-133.24]  å
[133.24-133.58]  laiv
[133.58-133.98]  blåge
[133.98-134.34]  sin
[134.34-134.64]  egen
[134.64-135.12]  undergang.
[161.29-161.67]  Og
[161.67-161.79]  seg
[161.79-162.01]  kunne
[162.01-162.71]  gråta
[162.71-162.89]  i
[162.89-163.81]  timesvis.
[164.45-164.55]  Hva
[164.55-164.87]  nye
[164.87-165.83]  gråte
[165.83-165.95]  han
[165.95-166.09]  for?
[167.33-167.59]  Og
[167.59-167.73]  så
[167.73-168.01]  ser
[168.01-168.33]  han,
[168.43-169.49]  kan
[169.49-169.63]  jeg
[169.63-169.83]  sette
[169.83-169.97]  meg
[169.97-170.27]  et
[170.27-170.89]  skute
[170.89-171.27]  her
[171.27-171.69]  eller
[171.69-172.49]  mærke
[172.49-172.51]  å
[172.51-172.55]  gå
[172.55-172.65]  et
[172.65-172.73]  på
[172.73-172.97]  dags.
[174.41-174.63]  Hva
[174.63-174.81]  er
[174.81-174.91]  det
[174.91-175.11]  her?
[175.91-176.11]  Er
[176.11-176.19]  det
[176.19-176.29]  et
[176.29-176.65]  sinne
[176.65-176.81]  i
[176.81-176.89]  deg?
[177.27-177.45]  Hvor
