--- Chunk 0 ---
[0.49-0.97]  Hey,
[1.15-1.23]  it's
[1.23-1.31]  Chin
[1.31-1.41]  and
[1.41-1.61]  Bush
[1.61-1.83]  Hager
[1.83-2.07]  from
[2.07-2.41]  today
[2.41-2.65]  with
[2.65-2.83]  Chin
[2.83-3.01]  and
[3.01-3.55]  Friends.
[3.87-3.99]  And
[3.99-4.17]  I'm
[4.17-4.43]  so
[4.43-4.77]  excited
[4.77-5.01]  about
[5.01-5.29]  our
[5.29-5.67]  first
[5.67-6.15]  ever
[6.15-6.47]  weed
[6.47-6.71]  with
[6.71-6.81]  Chin
[6.81-6.95]  and
[6.95-7.13]  book
[7.13-7.69]  festival.
[8.15-8.25]  A
[8.25-8.47]  weekend
[8.47-8.77]  of
[8.77-9.03]  books,
[9.25-9.51]  food
[9.51-9.69]  and
[9.69-10.05]  music
[10.05-10.31]  and
[10.31-10.37]  a
[10.37-10.57]  city
[10.57-10.71]  that
[10.71-10.95]  knows
[10.95-11.25]  a
[11.25-11.47]  good
[11.47-11.89]  time.
[12.07-12.37]  Nashville,
[12.61-12.91]  Tennessee.
[13.42-13.84]  Join
[13.84-14.16]  me
[14.16-14.26]  on
[14.26-14.48]  May
[14.48-14.94]  30th
[14.94-15.14]  and
[15.14-15.76]  31st
[15.76-16.04]  at
[16.04-16.36]  W
[16.36-16.82]  Nashville
[16.82-17.16]  and
[17.16-17.44]  connect
[17.44-17.74]  with
[17.74-17.92]  fellow
[17.92-18.50]  booklovers,
[18.90-18.92]  meet
[18.92-19.16]  the
[19.16-19.56]  authors,
[19.96-20.02]  dive
[20.02-20.26]  into
[20.26-20.76]  engaging
[20.76-21.70]  conversations,
[22.14-22.16]  pop
[22.16-22.40]  up
[22.40-23.02]  bookshops,
[23.40-23.82]  immersive
[23.82-24.42]  experiences,
[24.88-25.12]  surprise
[25.12-25.80]  giveaways,
[25.98-26.20]  and
[26.20-26.66]  more.
[26.98-27.06]  This
[27.06-27.26]  event
[27.26-27.48]  is
[27.48-27.76]  sponsored
[27.76-28.02]  by
[28.02-28.40]  Nashville
[28.40-28.78]  Music
[28.78-29.16]  City
[29.16-29.42]  and
[29.42-29.54]  you
[29.54-29.66]  can
[29.66-29.86]  get
[29.86-30.10]  your
[30.10-30.36]  tickets
[30.36-30.80]  now
[30.80-31.02]  at
[31.02-31.34]  today
[31.34-32.04] .com
[32.04-32.46]  slash
[32.46-33.70]  RWJ
[33.70-33.94]  Book
[33.94-34.46]  Festival.
[34.86-35.02]  Come
[35.02-35.36]  celebrate
[35.36-35.72]  the
[35.72-35.94]  magic
[35.94-36.20]  of
[36.20-36.44]  books
[36.44-36.70]  and
[36.70-37.08]  Nashville.
[37.42-37.48]  I
[37.48-37.68]  hope
[37.68-37.78]  to
[37.78-37.94]  see
[37.94-38.04]  you
[38.04-38.64]  there.
[43.36-43.96]  Insignan
[43.96-44.26]  out.
[44.86-45.04]  So
[45.04-45.46]  smart.
[46.68-46.88]  She
[46.88-47.06]  might
[47.06-47.20]  have
[47.20-47.26]  said
[47.26-47.42]  it
[47.42-47.56]  more
[47.56-47.88]  gently,
[48.30-48.30]  but
[48.30-48.52]  I
[48.52-48.74]  just
[48.74-49.08]  remember
[49.08-49.90]  Anita's
[49.90-50.16]  dead.
[50.92-51.20]  Everything
[51.20-51.50]  got
[51.50-51.74]  a
[51.74-52.12]  stop.
[52.82-53.00]  Your
[53.00-53.30]  mind
[53.30-53.62]  just
[53.62-54.00]  goes
[54.00-54.66]  everywhere
[54.66-55.10]  like
[55.10-55.28]  who
[55.28-55.46]  could
[55.46-55.64]  do
[55.64-56.04]  this.
[56.78-57.04]  Tyler
[57.04-57.68]  Schmaltz
[57.68-58.26]  was
[58.26-58.40]  kind
[58.40-58.50]  of
[58.50-59.10]  infatuated
[59.10-59.36]  with
[59.36-59.94]  her.
[61.60-61.78]  She
[61.78-61.98]  kind
[61.98-62.18]  of
[62.18-62.72]  frenzoned
[62.72-63.02]  him
[63.02-63.22]  pretty
[63.22-63.54]  quickly.
[63.92-64.24]  Yes.
[65.30-65.62]  Nicole
[65.62-66.16]  Rice's
[66.16-66.40]  name
[66.40-66.70]  came
[66.70-67.16]  up.
[67.36-67.56]  I
[67.56-68.08]  overheard
[68.08-68.78]  Nicole's
[68.78-69.30]  mom
[69.30-69.82]  asking,
[70.16-70.16]  how
[70.16-70.34]  could
