--- Chunk 0 ---
[5.77-6.25]  Hei!
[8.89-9.37]  På
[9.37-11.37]  nensiden,
[11.61-11.79]  søner
[11.79-11.97]  du
[11.97-12.17]  sikkert
[12.17-12.41]  at
[12.41-12.99]  tea
[12.99-13.17]  er
[13.17-13.39]  meg
[13.39-13.51]  av
[13.51-14.09]  færsel.
[14.49-14.49]  På
[14.49-14.49]  nensiden,
[14.49-14.49]  søner
[14.49-14.49]  du
[14.49-14.49]  sikkert
[14.49-14.49]  at
[14.49-14.49]  tea
[14.49-14.49]  er
[14.49-14.49]  meg
[14.49-14.49]  av
[14.49-14.49]  færsel.
[14.55-15.03]  Hva
[15.03-15.23]  kan
[15.23-15.47]  de
[15.47-15.57]  i
[15.57-15.65]  dem
[15.65-15.99]  passen
[15.99-16.21]  kort
[16.21-16.37]  noen
[16.37-16.61]  med?
[16.81-16.91]  Om
[16.91-17.09]  noen
[17.09-17.29]  kan
[17.29-17.35]  jeg
[17.35-17.47]  på
[17.47-18.07]  færsel.
[18.37-18.57]  Hvordan
[18.57-18.87]  anre
[18.87-19.23]  siden?
[19.43-19.77]  Men
[19.77-20.19]  tea,
[20.81-20.85]  det
[20.85-20.97]  kan
[20.97-21.19]  ikke
[21.19-21.27]  være
[21.27-21.73]  skamme.
[22.53-23.01]  Telefonsvindel
[23.01-23.23]  er
[23.23-23.65]  særet
[23.65-24.11]  økene
[24.11-24.41]  problem,
[24.77-24.95]  der
[24.95-25.19]  får
[25.19-25.85]  inkludere
[25.85-26.09]  til
[26.09-26.25]  en
[26.25-26.95]  orsvindel
[26.95-27.43]  varsel
[27.43-27.79]  inn
[27.79-27.89]  i
[27.89-28.11]  mobil
[28.11-28.83]  abenomann.
[29.05-29.17]  For
[29.17-29.47]  vi
[29.47-29.69]  skal
[29.69-29.95]  være
[29.95-30.25]  hele
[30.25-30.55]  norge
[30.55-31.21]  sikkert
[31.21-31.33]  at
[31.33-31.79]  snet.
[32.11-32.43]  Se,
[32.73-32.83]  til
[32.83-32.93]  en
[32.93-33.29]  orenom.
[33.50-33.92]  Du
[33.92-34.18]  hører
[34.18-34.44]  her
[34.44-34.92]  uindag
[34.92-35.42]  boka
[35.42-36.24]  trastvartrast.
[38.04-38.44]  Dette
[38.44-38.66]  er
[38.66-38.72]  en
[38.72-39.16]  første
[39.16-39.34]  av
