--- Chunk 0 ---
[0.33-0.85]  Hey,
[0.97-1.15]  it's
[1.15-1.29]  Jenna
[1.29-1.51]  Bush
[1.51-1.73]  Hager
[1.73-1.95]  from
[1.95-2.27]  Today
[2.27-2.53]  with
[2.53-2.79]  Jenna
[2.79-2.97]  and
[2.97-3.23]  Friends.
[3.67-3.91]  And
[3.91-4.05]  I'm
[4.05-4.31]  so
[4.31-4.69]  excited
[4.69-4.99]  about
[4.99-5.09]  our
[5.09-5.53]  first
[5.53-5.89]  ever
[5.89-6.35]  Read
[6.35-6.53]  with
[6.53-6.79]  Jenna
[6.79-7.03]  Book
[7.03-7.47]  Festival.
[7.97-8.09]  A
[8.09-8.35]  weekend
[8.35-8.59]  of
[8.59-8.89]  books,
[9.07-9.37]  food,
[9.49-9.57]  and
[9.57-9.93]  music
[9.93-10.15]  in
[10.15-10.27]  the
[10.27-10.41]  city
[10.41-10.59]  that
[10.59-10.87]  knows
[10.87-11.15]  a
[11.15-11.33]  good
[11.33-11.65]  time.
[11.97-12.31]  Nashville,
[12.45-12.77]  Tennessee.
[13.42-13.72]  Join
[13.72-14.02]  me
[14.02-14.14]  on
[14.14-14.30]  May
[14.30-14.90]  30th
[14.90-14.98]  and
[14.98-15.72]  31st
[15.72-15.80]  at
[15.80-16.28]  W.
[16.48-16.66]  Nashville
[16.66-17.04]  and
[17.04-17.40]  connect
[17.40-17.56]  with
[17.56-17.80]  fellow
[17.80-18.06]  book
[18.06-18.38]  lovers,
[18.60-18.84]  meet
[18.84-19.00]  the
[19.00-19.30]  authors,
[19.66-19.90]  dive
[19.90-20.14]  into
[20.14-20.66]  engaging
[20.66-21.22]  conversations,
[21.92-22.06]  pop
[22.06-22.28] -up
[22.28-22.94]  bookshops,
[23.28-23.70]  immersive
[23.70-24.40]  experiences,
[24.70-24.96]  surprise
[24.96-25.60]  giveaways,
[25.96-26.06]  and
[26.06-26.30]  more.
[26.78-27.00]  This
[27.00-27.22]  event
[27.22-27.36]  is
[27.36-27.64]  sponsored
[27.64-27.90]  by
[27.90-28.26]  Nashville
[28.26-28.68]  Music
[28.68-29.02]  City
[29.02-29.34]  and
[29.34-29.46]  you
[29.46-29.62]  can
[29.62-29.76]  get
[29.76-29.94]  your
[29.94-30.26]  tickets
[30.26-30.64]  now
[30.64-30.94]  at
[30.94-31.20]  today
[31.20-31.82] .com
[31.82-32.32]  slash
[32.32-33.52]  RWJ
[33.52-33.82]  Book
[33.82-34.28]  Festival.
[34.64-34.88]  Come
[34.88-35.28]  celebrate
[35.28-35.52]  the
[35.52-35.84]  magic
[35.84-36.04]  of
[36.04-36.24]  books
[36.24-36.50]  in
[36.50-36.88]  Nashville.
[37.28-37.42]  I
[37.42-37.54]  hope
[37.54-37.70]  to
[37.70-37.86]  see
[37.86-37.96]  you
[37.96-38.16]  there.
[39.74-40.32]  Tonight
[40.32-40.80]  on
[40.80-41.38]  Dateline.
[41.86-42.12]  She
[42.12-42.26]  was
[42.26-42.36]  so
[42.36-42.58]  beautiful.
[43.28-43.74]  Inside
[43.74-43.90]  and
[43.90-44.10]  out.
[44.68-44.92]  So
[44.92-45.22]  smart.
[46.26-46.76]  She
[46.76-46.96]  might
[46.96-47.12]  have
[47.12-47.20]  said
[47.20-47.32]  it
[47.32-47.44]  more
[47.44-47.72]  gently,
[48.00-48.18]  but
[48.18-48.46]  I
[48.46-48.62]  just
[48.62-48.98]  remember
[48.98-49.74]  Anita's
[49.74-49.92]  dead.
[50.58-51.12]  Everything
[51.12-51.40]  kind
[51.40-51.52]  of
[51.52-51.88]  stopped.
[52.76-52.86]  Your
[52.86-53.16]  mind
[53.16-53.46]  just
[53.46-53.74]  goes
[53.74-54.60]  everywhere
[54.60-55.00]  like,
[55.12-55.18]  who
[55.18-55.34]  could
[55.34-55.54]  do
[55.54-55.86]  this?
[56.60-56.92]  Tyler
[56.92-57.58]  Schmaltz
[57.58-57.84]  was
[57.84-58.28]  kind
[58.28-58.40]  of
[58.40-59.02]  infatuated
[59.02-59.28]  with
[59.28-59.48]  her.
[61.10-61.66]  She
[61.66-61.94]  kind
[61.94-62.04]  of
[62.04-62.64]  friendzoned
[62.64-62.88]  him
[62.88-63.12]  pretty
[63.12-63.42]  quickly.
[63.80-64.00]  Yes.
[65.08-65.52]  Nicole
[65.52-66.04]  Rice's
[66.04-66.24]  name
[66.24-66.58]  came
[66.58-66.82]  up.
[67.22-67.46]  I
[67.46-68.06]  overheard
[68.06-68.64]  Nicole's
[68.64-68.92]  mom
[68.92-69.70]  asking,
[69.88-70.08]  how
[70.08-70.26]  could
[70.26-70.40]  you
[70.40-70.58]  think
[70.58-70.76]  my
[70.76-70.98]  daughter
[70.98-71.24]  did
[71.24-71.66]  this?
[73.64-74.32]  We
[74.32-74.46]  were
[74.46-75.04]  dispatched
[75.04-75.26]  to
[75.26-75.44]  a
[75.44-75.72]  call
[75.72-75.92]  of
[75.92-76.36]  someone
[76.36-76.80]  entering
[76.80-77.04]  an
[77.04-77.40]  apartment.
[77.94-78.20]  There
[78.20-78.38]  was
[78.38-78.62]  a
[78.62-79.08]  male,
[79.56-79.68]  he
[79.68-79.96]  had
[79.96-80.24]  a
[80.24-80.62]  knife.
[83.52-84.20]  There
[84.20-86.32]  were
[86.32-86.74]  many
[86.74-87.28]  possible
[87.28-87.86]  suspects.
[94.84-95.52]  We've
[95.52-95.64]  been
[95.64-95.98]  reliving
[95.98-96.32]  this
[96.32-96.82]  every
[96.82-97.06]  single
[97.06-97.34]  day
[97.34-97.66]  for
[97.66-97.98]  18
[97.98-98.38]  years.
[99.07-99.47]  It's
[99.47-99.93]  really
[99.93-100.51]  scary
[100.51-101.07]  not
[101.07-101.41]  knowing
[101.41-101.59]  how
[101.59-101.79]  that's
[101.79-101.89]  going
[101.89-101.97]  to
[101.97-102.15]  turn
[102.15-102.35]  out.
[102.63-102.73]  A
[102.73-103.07]  popular
[103.07-103.59]  college
[103.59-104.07]  student
[104.07-104.61]  murdered
[104.61-105.09]  a
[105.09-105.47]  case
[105.47-105.67]  that
[105.67-106.01]  dragged
[106.01-106.31]  on
[106.31-106.57]  for
[106.57-107.11]  years.
[107.51-107.77]  Could
[107.77-108.45]  revelations
[108.45-108.79]  during
[108.79-108.99]  a
[108.99-109.45]  party
[109.45-109.97]  finally
[109.97-110.47]  solve
[110.47-110.69]  the
[110.69-111.09]  mystery?
[111.89-112.09]  I'm
[112.09-112.41]  Lester
[112.41-112.83]  Holt
[112.83-113.31]  and
[113.31-113.53]  this
[113.53-113.71]  is
[113.71-114.13]  Dateline.
[122.75-123.53]  Here's
[123.53-123.87]  Blaine
[123.87-124.47]  Alexander
[124.47-124.91]  with
[124.91-125.81]  Murder
[125.81-126.37]  in
[126.37-126.61]  My
[126.61-126.87]  Not.
[135.56-135.94]  The
[135.94-136.32]  town
[136.32-136.76]  is
[136.76-137.36]  mostly
[137.36-137.82]  quiet
[137.82-138.18]  now.
[139.56-139.82]  Just
[139.82-140.02]  a
[140.02-140.18]  few
[140.18-140.66]  stores
[140.66-141.02]  line
[141.02-141.24]  the
[141.24-141.64]  streets,
[142.14-142.64]  but
[142.64-142.98]  ride
[142.98-143.26]  through
[143.26-143.52]  this
[143.52-143.98]  small
[143.98-144.40]  North
[144.40-144.80]  Dakota
[144.80-145.44]  community
[145.44-146.08]  and
[146.08-146.32]  you'll
[146.32-146.56]  see
[146.56-146.84]  them.
[147.52-147.66]  These
[147.66-147.98]  weather
[147.98-148.46] -worn
[148.46-148.78]  pink
[148.78-149.40]  ribbons
[149.40-150.26]  and
[150.26-150.42]  a
[150.42-150.64]  faded
[150.64-151.14]  photograph
[151.14-151.58]  of
[151.58-151.72]  a
[151.72-151.90]  young
[151.90-152.30]  woman
[152.30-153.08]  no
[153.08-153.42]  one
[153.42-153.76]  here
[153.76-154.16]  can
[154.16-154.74]  forget.
[156.02-156.82]  Reminders
[156.82-157.10]  of
[157.10-157.52]  what
[157.52-157.80]  this
[157.80-158.08]  place
[158.08-158.34]  has
[158.34-158.62]  been
[158.62-158.98]  through,
[159.92-160.14]  of
[160.14-160.26]  a
[160.26-160.60]  mystery
[160.60-161.04]  that
[161.04-161.52]  spanned
[161.52-162.26]  nearly
[162.26-162.70]  two
[162.70-163.18]  decades.
[164.03-164.39]  You
[164.39-164.61]  talk
[164.61-164.75]  to
[164.75-165.15]  police.
[165.75-165.97]  All
[165.97-166.07]  the
[166.07-166.29]  time.
[166.71-166.91]  All
[166.91-167.01]  the
[167.01-167.21]  time.
[167.61-168.01]  For
[168.01-168.13]  the
[168.13-168.33]  whole
[168.33-168.61]  18
[168.61-168.99]  years.
[170.21-170.49]  This
[170.49-170.87]  story
[170.87-171.11]  is
[171.11-171.29]  about
[171.29-171.47]  a
[171.47-171.67]  young
[171.67-172.21]  student,
[172.63-172.79]  a
[172.79-172.95]  way
[172.95-173.11]  at
[173.11-173.53]  college,
[173.93-174.27]  killed
[174.27-174.51]  in
[174.51-174.71]  her
[174.71-175.01]  own
[175.01-175.43]  bedroom,
[176.19-176.53]  and
[176.53-176.77]  about
[176.77-176.93]  the
[176.93-177.35]  family
[177.35-177.57]  and
[177.57-177.99]  friends
[177.99-178.51]  who
[178.51-178.91]  never
[178.91-179.31]  stopped
[179.31-179.79]  pressing
[179.79-180.07]  for
[180.07-180.51]  answers.
[181.09-181.41]  We're
[181.41-181.53]  not
[181.53-181.83]  forgetting
[181.83-182.15]  about
[182.15-182.39]  this.
[182.63-182.77]  We
[182.77-183.05]  weren't
[183.05-183.15]  going
[183.15-183.21]  to
[183.21-183.31]  give
[183.31-183.43]  up.
[183.61-183.75]  She
[183.75-184.01]  wouldn't
[184.01-184.25]  have.
[184.91-185.25]  We
[185.25-185.53]  weren't
[185.53-185.69]  going
[185.69-185.87]  to.
[191.83-192.39]  Tell
[192.39-192.53]  me
[192.53-192.97]  about...
[193.02-193.50]  Butte,
[193.50-193.60]  North
[193.60-194.00]  Dakota.
[194.70-195.26]  Butte
[195.26-195.56]  is
[195.56-196.38]  a
[196.38-196.76]  tiny
[196.76-197.00]  little
[197.00-197.44]  town.
[197.78-198.12]  It's,
[198.12-198.66]  I
[198.66-198.84]  mean,
[199.34-199.46]  when
[199.46-199.58]  you
[199.58-199.70]  say
[199.70-199.98]  tiny,
[200.20-200.38]  eight
[200.38-200.58]  streets,
[201.32-201.42]  eight
[201.42-201.66]  streets,
[201.94-202.04]  eight
[202.04-202.28]  streets,
[202.52-202.66]  50
[202.66-203.02]  people,
[203.64-203.84]  tiny,
[204.14-204.16]  tiny,
[204.24-204.50]  tiny.
[204.90-204.90]  Yeah.
[205.72-205.92]  It's
[205.92-206.06]  where
[206.06-206.38]  Anna
[206.38-206.92]  Knutson
[206.92-207.30]  spent
[207.30-207.70]  much
[207.70-207.86]  of
[207.86-208.02]  her
[208.02-208.26]  late
[208.26-208.88]  childhood,
[209.22-209.68]  raised
[209.68-209.92]  with
[209.92-210.06]  her
